"state","county","division","mountain","province","section","subregion_code","predominant_area_percent","source_page"
39,85,222,1,222,9,122209,100,69
39,87,221,1,221,5,122105,100,69
39,89,221,1,221,6,122106,92,69
39,91,222,1,222,8,122208,100,69
39,93,222,1,222,9,122209,60,69
39,95,222,1,222,9,122209,100,69
39,97,222,1,222,8,122208,100,69
39,99,221,1,221,6,122106,100,69
39,101,222,1,222,8,122208,100,69
39,103,221,1,221,6,122106,59.4,69
39,105,221,1,221,5,122105,100,69
39,107,222,1,222,8,122208,100,69
39,109,222,1,222,8,122208,100,69
39,111,221,1,221,5,122105,100,69
39,113,222,1,222,8,122208,100,69
39,115,221,1,221,5,122105,100,69
39,117,222,1,222,8,122208,76.5,69
39,119,221,1,221,5,122105,100,69
39,121,221,1,221,5,122105,100,69
39,123,222,1,222,9,122209,100,69
39,125,222,1,222,9,122209,99.1,69
39,127,221,1,221,5,122105,65.3,69
39,129,222,1,222,8,122208,75.9,69
39,131,221,1,221,5,122105,88.7,69
39,133,221,1,221,6,122106,100,69
39,135,222,1,222,8,122208,100,70
39,137,222,1,222,9,122209,100,70
39,139,222,1,222,8,122208,55.3,70
39,141,221,1,221,6,122106,39.8,70
39,143,222,1,222,9,122209,100,70
39,145,221,1,221,5,122105,100,70
39,147,222,1,222,9,122209,54.8,70
39,149,222,1,222,8,122208,100,70
39,151,221,1,221,6,122106,87.9,70
39,153,221,1,221,6,122106,100,70
39,155,221,1,221,6,122106,100,70
39,157,221,1,221,5,122105,100,70
39,159,222,1,222,8,122208,100,70
39,161,222,1,222,9,122209,68.2,70
39,163,221,1,221,5,122105,99.6,70
39,165,222,1,222,8,122208,100,70
39,167,221,1,221,5,122105,100,70
39,169,221,1,221,6,122106,99.9,70
39,171,222,1,222,10,122210,41.5,70
39,173,222,1,222,9,122209,100,70
39,175,222,1,222,8,122208,100,70
40,1,222,1,222,1,122201,73.2,70
40,3,332,1,332,5,133205,100,70
40,5,255,1,255,1,125501,100,70
40,7,331,1,331,2,133102,100,70
40,9,311,1,311,1,131101,94.7,70
40,11,311,1,311,1,131101,77,70
40,13,255,1,255,1,125501,98.4,70
40,15,311,1,311,1,131101,100,70
40,17,311,1,311,1,131101,100,70
