"source_file","source_line_start","source_line_end","target","statement_ordinal","literal","value","upstream_commit"
"scrib.f",59,73,"EXCEPT",27,"41060.",41060,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",28,"41110.",41110,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",29,"41120.",41120,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",30,"41150.",41150,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",31,"41180.",41180,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",32,"50100.",50100,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",33,"50191.",50191,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",34,"50211.",50211,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",35,"50410.",50410,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",36,"50430.",50430,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",37,"50460.",50460,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",38,"50590.",50590,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",39,"50640.",50640,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",40,"50650.",50650,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",41,"50740.",50740,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",42,"50750.",50750,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",43,"50810.",50810,"38548071d5aa652bb90c7f111f86b427f798a1c9"
