"family","source_file","source_line_start","source_line_end","target","ordinal","literal","value_numeric","upstream_commit"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",111,"-0.445",-0.445,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",112,"-0.201",-0.201,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",113,"-0.201",-0.201,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",114,"-0.367",-0.367,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",115,"-0.367",-0.367,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",116,"-0.367",-0.367,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",117,"-0.144",-0.144,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",118,"-0.144",-0.144,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",119,"0.000",0,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",120,"-0.143",-0.143,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",121,"0.968",0.968,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",122,"0.888",0.888,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",123,"0.888",0.888,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",124,"0.888",0.888,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",125,"0.947",0.947,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",126,"0.947",0.947,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",127,"0.891",0.891,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",128,"0.891",0.891,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",129,"0.837",0.837,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",130,"0.888",0.888,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",131,"0.897",0.897,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",132,"0.968",0.968,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",133,"0.968",0.968,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",134,"0.891",0.891,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",135,"0.891",0.891,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",136,"0.891",0.891,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",137,"0.937",0.937,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",138,"0.937",0.937,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",139,"0.893",0.893,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",140,"0.886",0.886,"38548071d5aa652bb90c7f111f86b427f798a1c9"
